row tindex
time
outputvalue
force
0
22/12/05
-145.0
-1420.99
1
22/12/07
-124.0
-1214.98
2
22/12/09
217.0
2130.23
3
22/12/11
-63.0
-616.57
4
22/12/13
149.0
1463.15
5
22/12/15
209.0
2051.75
6
22/12/16
-165.0
-1617.19
7
22/12/18
-264.0
-2588.38
8
22/12/20
-187.0
-1833.01
9
22/12/22
41.0
403.67
10
22/12/24
-176.0
-1725.1
11
22/12/26
-497.0
-4874.11
12
22/12/27
389.0
3817.55
13
22/12/29
-91.0
-891.25
14
22/12/31
44.0
433.1
15
22/12/33
-15.0
-145.69
16
22/12/35
-176.0
-1725.1
17
22/12/36
-316.0
-3098.5
18
22/12/38
69.0
678.35
19
22/12/40
-167.0
-1636.81
20
22/12/42
52.0
511.58
21
22/12/43
158.0
1551.44
22
22/12/45
12.0
119.18
23
22/12/47
484.0
4749.5
24
22/12/49
-203.0
-1989.97
25
22/12/51
-48.0
-469.42
26
22/12/52
315.0
3091.61
27
22/12/54
43.0
423.29
28
22/12/56
-113.0
-1107.07
29
22/12/58
163.0
1600.49
30
22/13/00
296.0
2905.22
31
22/13/01
-37.0
-361.51
32
22/13/03
425.0
4170.71
33
22/13/05
-311.0
-3049.45
34
22/13/07
-391.0
-3834.25
35
22/13/09
-102.0
-999.16
36
22/13/11
81.0
796.07
37
22/13/13
-175.0
-1715.29
38
22/13/14
-333.0
-3265.27
39
22/13/16
-700.0
-6865.54
40
22/13/18
-116.0
-1136.5
41
22/13/20
-39.0
-381.13
42
22/13/22
125.0
1227.71
43
22/13/23
-517.0
-5070.31
44
22/13/25
-301.0
-2951.35
45
22/13/27
348.0
3415.34
46
22/13/29
34.0
335.0
47
22/13/31
-24.0
-233.98
48
22/13/32
-214.0
-2097.88
49
22/13/35
-187.0
-1833.01
50
22/13/36
-106.0
-1038.4
51
22/13/38
-200.0
-1960.54
52
22/13/40
-75.0
-734.29
53
22/13/42
-178.0
-1744.72
54
22/13/44
-402.0
-3942.16
55
22/13/46
-412.0
-4040.26
56
22/13/47
36.0
354.62
57
22/13/50
20.0
197.66
58
22/13/52
-25.0
-243.79
59
22/13/54
93.0
913.79
60
22/13/55
5.0
50.51
61
22/13/57
198.0
1943.84
62
22/13/59
20.0
197.66
63
22/14/01
-442.0
-4334.56
64
22/14/03
65.0
639.11
65
22/14/05
127.0
1247.33
66
22/14/06
138.0
1355.24
67
22/14/08
-324.0
-3176.98
68
22/14/10
61.0
599.87
69
22/14/12
18.0
178.04
70
22/14/14
9.0
89.75
71
22/14/16
-448.0
-4393.42
72
22/14/17
-94.0
-920.68
73
22/14/19
61.0
599.87
74
22/14/21
-609.0
-5972.83
75
22/14/23
-395.0
-3873.49
76
22/14/25
-228.0
-2235.22
77
22/14/26
-176.0
-1725.1
78
22/14/28
-363.0
-3559.57
79
22/14/30
-172.0
-1685.86
80
22/14/32
-420.0
