row tindex
time
outputvalue
force
0
21/27/26
13.0
128.99
1
21/27/28
4.0
40.7
2
21/27/30
107.0
1051.13
3
21/27/31
132.0
1296.38
4
21/27/33
201.0
1973.27
5
21/27/35
194.0
1904.6
6
21/27/37
75.0
737.21
7
21/27/39
733.0
7192.19
8
21/27/41
408.0
4003.94
9
21/27/42
337.0
3307.43
10
21/27/44
117.0
1149.23
11
21/27/46
131.0
1286.57
12
21/27/48
111.0
1090.37
13
21/27/50
278.0
2728.64
14
21/27/52
-66.0
-646.0
15
21/27/54
339.0
3327.05
16
21/27/55
107.0
1051.13
17
21/27/57
-84.0
-822.58
18
21/27/59
263.0
2581.49
19
21/28/01
380.0
3729.26
20
21/28/03
-532.0
-5217.46
21
21/28/05
-35.0
-341.89
22
21/28/06
325.0
3189.71
23
21/28/08
-41.0
-400.75
24
21/28/10
95.0
933.41
25
21/28/12
255.0
2503.01
26
21/28/14
36.0
354.62
27
21/28/15
595.0
5838.41
28
21/28/17
797.0
7820.03
29
21/28/19
-169.0
-1656.43
30
21/28/21
42.0
413.48
31
21/28/23
-481.0
-4717.15
32
21/28/24
149.0
1463.15
33
21/28/26
45.0
442.91
34
21/28/28
-80.0
-783.34
35
21/28/30
288.0
2826.74
36
21/28/32
55.0
541.01
37
21/28/34
-90.0
-881.44
38
21/28/35
385.0
3778.31
39
21/28/37
372.0
3650.78
40
21/28/39
-172.0
-1685.86
41
21/28/41
260.0
2552.06
42
21/28/43
-235.0
-2303.89
43
21/28/44
-284.0
-2784.58
44
21/28/46
432.0
4239.38
45
21/28/48
365.0
3582.11
46
21/28/50
376.0
3690.02
47
21/28/52
-180.0
-1764.34
48
21/28/53
-108.0
-1058.02
49
21/28/55
193.0
1894.79
50
21/28/57
80.0
786.26
51
21/28/59
394.0
3866.6
52
21/29/01
170.0
1669.16
53
21/29/02
556.0
5455.82
54
21/29/04
33.0
325.19
55
21/29/06
103.0
1011.89
56
21/29/08
-377.0
-3696.91
57
21/29/10
81.0
796.07
58
21/29/11
149.0
1463.15
59
21/29/13
119.0
1168.85
60
21/29/15
31.0
305.57
61
21/29/17
-129.0
-1264.03
62
21/29/19
501.0
4916.27
63
21/29/20
639.0
6270.05
64
21/29/22
-281.0
-2755.15
65
21/29/24
-90.0
-881.44
66
21/29/26
41.0
403.67
67
21/29/28
-187.0
-1833.01
68
21/29/30
158.0
1551.44
69
21/29/31
235.0
2306.81
70
21/29/33
47.0
462.53
71
21/29/35
463.0
4543.49
72
21/29/37
-221.0
-2166.55
73
21/29/39
-183.0
-1793.77
74
21/29/40
305.0
2993.51
75
21/29/42
194.0
1904.6
76
21/29/44
223.0
2189.09
77
21/29/46
193.0
1894.79
78
21/29/48
-171.0
-1676.05
79
21/29/49
-70.0
-685.24
80
21/29/51
-44.0
-430.18
81
21/29/53
-57.0
-557.71
82
21/29/55
-191.0
