row tindex,time,outputvalue,force
0,14-33-14,904.0,-0.04
1,14-33-16,3378.0,-0.16
2,14-33-18,5301.0,-0.26
3,14-33-20,3481.0,-0.17
4,14-33-22,878.0,-0.04
5,14-33-23,-648.0,0.04
6,14-33-25,951.0,-0.04
7,14-33-27,1026.0,-0.05
8,14-33-29,1881.0,-0.09
9,14-33-31,4220.0,-0.2
10,14-33-33,3337.0,-0.16
11,14-33-34,-14211.0,0.71
12,14-33-36,9012.0,-0.44
13,14-33-38,-82900.0,4.12
